Name	Latitude	Longitude	Category	Checkins
Delta Shuttle Bus Stop for Q47, Q48 and M60	40.7730603397	-73.8860530588	Bus Line	337
Marine Air Terminal	40.7736725825	-73.8843189621	Airport Terminal	8293
Trade Fair	40.7705247004	-73.8911174518	Supermarket	787
Yankee Clipper	40.7734517865	-73.8857257636	Diner	905
Port Authority Of NY/NJ Precinct	40.7718564954	-73.8852262066	Police Station	23
Hertz Shuttle	40.7709963459	-73.8853812417	Moving Target	101
LGA RE Office - Hangar 7	40.772033682	-73.8861736411	Coworking Space	68
Hertz	40.768349	-73.887209	Rental Car Location	4302
7-Eleven	40.7694807651	-73.8863012381	Convenience Store	32
LGA Fuel Farm	40.7724434156	-73.8884646908	Building	468
North Shore LIJ CEMS LaGuardia outpost	40.7710997313	-73.8857429896	Medical Center	296
LGA Marine Terminal Passenger Pick-up	40.773113	-73.885527	Airport Terminal	208
Jackson Heights, NY	40.7553845919	-73.8860607147	Neighborhood	26695
Delta Shuttle	40.773700482	-73.8841007634	Airport Terminal	6573
Delta Marine Air Terminal TSA Screening	40.7737149352	-73.8841696683	Airport Service	1941
Flight Safety International Inc.	40.7734156588	-73.8863516434	Office	107
Delta Check-In	40.7736774814	-73.8844969661	Airport Service	566
H & A Liquors	40.770597	-73.886332	Liquor Store	2
Shell gas station LGA	40.769453	-73.886434	Gas Station	98
Gate 3	40.7736518749	-73.8839364052	Airport Gate	643
Harlem bound M60 bus	40.7696022733	-73.8860760268	Bus Line	29
World Bean	40.773749	-73.884182	Café	69
Route(A) Bus	40.7732316439	-73.8860817689	Bus Line	14
parking lot P6	40.772529	-73.885635	Parking	2
CIBO Express Gourmet Market	40.773670108	-73.8842328311	Café	67
Baggage Claim	40.773473549	-73.8853410474	Baggage Claim	68
Costa's Bank	40.7713763045	-73.8893776581	Bank	109
Shah's Newsstand	40.7704890228	-73.8918753769	Newsstand	823
Chicago Gates	40.7735973784	-73.8845543867	Airport Gate	29
Delta Shuttle Control Center	40.7721760502	-73.8846864541	Airport Terminal	36
Bag Room, Delta Shuttle	40.7737312317	-73.8847579956	Airport Terminal	23
BxM6	40.7698358745	-73.8855822129	Bus Line	32
Gate 4	40.7737818732	-73.8837647438	Airport Gate	377
Delta Shuttle Ticket Counter	40.7737477644	-73.8840548268	General Travel	33
Delta Flight DL 2727	40.773718	-73.884193	Moving Target	1
Gate SH1	40.7735463945	-73.8847036802	None	23
Astoria Heights, NY	40.768566582	-73.8899633329	Neighborhood	142
Rocco's Brick Oven Pizzeria	40.7706862207	-73.8901805878	Pizza Place	350
Rikers GRVC	40.7739677885	-73.8903595238	Government Building	85
American Gas	40.7702158836	-73.8914734473	Gas Station	183
LGA MTCE	40.7691917419	-73.8883666992	Airport Gate	4
The fender mender	40.7736444883	-73.8887690137	Automotive Shop	2
